0,title,url,stage,date,start_time,end_time
96,ANDREW O'NEIL,https://www.andrewoneill.co.uk/,CABARET,25/06/2023,22:30,23:00
97,ANDREW O'NEILL,http://www.andrewoneill.co.uk,LABORATORY STAGE,23/06/2023,17:00,17:45
98,ANDY C,http://andy c (@andyc_ramagram) | instagram,NOWHERE,24/06/2023,01:00,02:30
99,ANDY CARROLL,,GREENPEACE,25/06/2023,21:45,23:30
100,ANDY CATO (GROOVE ARMADA),,FLYING BUS,25/06/2023,01:30,02:30
101,ANDY CATO B2B SPOOKY CASH CASH,https://en.wikipedia.org/wiki/andy_cato,THE BUG,23/06/2023,20:00,21:30
102,ANGELINE MORRISON,https://www.angelinemorrisonmusic.com/,ACOUSTIC STAGE,25/06/2023,11:30,12:00
103,ANGIE MACK,https://www.hulahooper.com/,THE GLEBE,22/06/2023,12:35,13:05
104,ANGIE MACK,https://www.hulahooper.com/,THE PAVEMENT,22/06/2023,14:55,15:25
105,ANGIE MACK,https://www.hulahooper.com/,THE PAVEMENT,23/06/2023,12:35,13:05
106,ANGIE MACK,https://www.hulahooper.com/,THE PAVEMENT,24/06/2023,14:55,15:25
107,ANGIE MACK,https://www.hulahooper.com/,A LITTLE MORE SENSATION,22/06/2023,15:55,16:25
108,ANGIE MACK,https://www.hulahooper.com/,A LITTLE MORE SENSATION,23/06/2023,16:05,16:35
109,ANGIE MACK,https://www.hulahooper.com/,A LITTLE MORE SENSATION,24/06/2023,12:35,13:05
110,ANI GLASS,https://aniglass.bandcamp.com,TOAD HALL,25/06/2023,17:15,18:00
111,ANIMA BLOOM,https://www.youtube.com/@animabloommusic,MANDALA STAGE,23/06/2023,12:00,13:00
112,ANNA CAMPEAU,,STRUMMERVILLE,24/06/2023,12:00,13:30
113,ANNA PRANK,,BLIND TIGER,25/06/2023,22:00,23:00
114,ANNA PRANK,https://on.soundcloud.com/t7r1rfd95xwkuy4h8,THE SALON CAROUSEL,22/06/2023,22:00,23:00
115,ANNABELLE HOLLAND (COMPERE),https://freneticengineering.co.uk/,CIRCUS BIG TOP,22/06/2023,20:15,00:45
116,ANNABELLE HOLLAND (COMPERE),https://freneticengineering.co.uk/,CIRCUS BIG TOP,23/06/2023,14:00,18:00
117,ANNABELLE HOLLAND (COMPERE),https://freneticengineering.co.uk/,CIRCUS BIG TOP,24/06/2023,10:00,14:00
118,ANNIE MAC,https://www.instagram.com/anniemacmanus/?hl=en,SAN REMO,23/06/2023,22:00,00:00
119,ANOLAH & ZEE BONEZ,,RIMSKI'S YARD,23/06/2023,17:00,TBA
120,ANS,https://en.wikipedia.org/wiki/glade_festival,RABBIT HOLE'S FUNKINGHAM PALACE,24/06/2023,02:30,04:00
121,ANTONY SZMIEREK,https://www.instagram.com/antonyszmierek/?hl=en,THE WEST HOLTS BAR,22/06/2023,17:30,18:15
122,ANTONY SZMIEREK,https://www.instagram.com/antonyszmierek/?hl=en,THE WEST HOLTS BAR,23/06/2023,21:30,22:15
